rule_id,factor,category,entry_count_train,entries_per_year_train,holding_ratio_train,mean_holding_days_train,entry_count_all,entries_per_year_all,holding_ratio_all,mean_holding_days_all,primary_weight,challenger_weight
chip_deviation,筹码乖离率_季线,赔率/筹码,13,2.988200125865324,0.4825306893295562,39.30769230769231,26,2.599644128113879,0.4971169686985173,46.42307692307692,0.08333333333333334,0.06985778057965207
chip_profit_center,筹码盈利中枢_年线,赔率/筹码,7,1.6090308370044053,0.29745042492917845,45.0,20,1.9997262523952917,0.44481054365733114,54.0,0.08333333333333334,0.09520010774130501
chip_profit_index,指数筹码盈利,赔率/筹码,19,4.367369414726243,0.546742209631728,30.473684210526315,40,3.9994525047905833,0.5465403624382208,33.175,0.08333333333333334,0.057784273765579146
forward_valuation,远期估值,赔率/估值,15,3.447923222152297,0.5033050047214354,35.53333333333333,31,3.099575691212702,0.5387149917627677,42.193548387096776,0.08333333333333334,0.06503405446261344
fund_flow,资金流因子,胜率/资金,45,10.343769666456891,0.559017941454202,13.155555555555555,102,10.198603887215988,0.5906095551894563,14.058823529411764,0.08333333333333334,0.03754742885048265
historical_valuation,历史估值,赔率/估值,11,2.528477029578351,0.5080264400377715,48.90909090909091,25,2.4996578154941145,0.5090609555189456,49.44,0.08333333333333334,0.07594341410053133
institutional_net_buy,机构主动净买入,胜率/资金,10,2.2986154814348647,0.37393767705382436,39.6,20,1.9997262523952917,0.4390444810543657,53.3,0.08333333333333334,0.0796501246688871
margin_trading_ratio,融资成交占比_季线,胜率/资金,18,4.137507866582756,0.3286118980169972,19.333333333333332,44,4.399397755269642,0.3443163097199341,19.0,0.08333333333333334,0.059367697725321494
pb_skew,pb偏度_季线,赔率/估值,7,1.6090308370044053,0.37677053824362605,57.0,17,1.699767314535998,0.4209225700164745,60.11764705882353,0.08333333333333334,0.09520010774130501
price_diffusion,年价格扩散系数_季线,胜率/量,10,2.2986154814348647,0.6326723323890463,67.0,22,2.199698877634821,0.6577429983525536,72.5909090909091,0.04166666666666667,0.0796501246688871
sentiment_entropy,情绪熵,胜率/量,39,8.964600377595971,0.4400377714825307,11.948717948717949,75,7.498973446482344,0.4827018121911038,15.626666666666667,0.04166666666666667,0.040332408422651934
small_cap_turnover,小市值换手因子_季线,胜率/量,22,5.056954059156702,0.37488196411709157,18.045454545454547,65,6.499110320284697,0.35090609555189456,13.107692307692307,0.04166666666666667,0.05370010309694377
turnover_diffusion,季换手扩散系数_季线,胜率/量,17,3.90764631843927,0.6487252124645893,40.411764705882355,38,3.799479879551054,0.6124382207578254,39.13157894736842,0.04166666666666667,0.06108885697836466
up_down_volume_diff,上涨下跌量差_季线,胜率/量,11,2.528477029578351,0.3720491029272899,35.81818181818182,28,2.7996167533534084,0.364497528830313,31.607142857142858,0.04166666666666667,0.07594341410053133
volume_factor,放量因子,胜率/量,22,5.056954059156702,0.5288007554296507,25.454545454545453,45,4.499384067889406,0.5370675453047776,28.977777777777778,0.04166666666666667,0.05370010309694377
