日期,代码,指数名称,strategy_id,strategy_role,composite_score,weekly_anchor_score,strong_event_threshold,exposure,state,state_reason,latest_entry_date,latest_exit_date
2026-08-21,000985.CSI,中证全指,two_speed_category_strong0p25,primary,0.583333333333,0.583333333333,0.25,1.0,long,latest weekly decision or composite threshold,2026-07-27,2026-07-13
2026-08-21,000985.CSI,中证全指,entry_frequency_inverse_sqrt_weekly_binary,challenger,0.503721624318,0.503721624318,0.25,1.0,long,latest weekly decision or composite threshold,2026-07-20,2026-07-13
