strategy_id,strategy_role,start_date,end_date,annual_return,annual_volatility,sharpe,max_drawdown,calmar,annual_turnover,mean_exposure,entry_count,exit_count,mean_holding_days,final_equity
two_speed_category_strong0p25,primary,2016-08-25,2026-08-26,0.1798827066929236,0.12594121690370536,1.3765418389492223,-0.114307431826149,1.573674640565003,8.822075782537068,0.45304777594728174,43,42,25.58139534883721,4.922225222632163
entry_frequency_inverse_sqrt_weekly_binary,challenger,2016-08-25,2026-08-26,0.17665382170525756,0.12856565524855257,1.3297021463787995,-0.14309893319113476,1.2344873421893658,8.199341021416805,0.4872322899505766,40,39,29.575,4.793963366659445
