日期,代码,指数名称,strategy_id,strategy_role,composite_score,weekly_anchor_score,exposure,turnover,benchmark_return,gross_return,cost,net_return,benchmark_equity,net_equity
2016-08-25,000985.CSI,中证全指,two_speed_category_strong0p25,primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2016-08-26,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,0.0,0.0,0.0,0.001991349327605585,0.0,0.0,0.0,1.0019913493276056,1.0
2016-08-29,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,-1.0,0.0,0.0,0.001500652631847288,0.0,0.0,0.0,1.0034949902830623,1.0
2016-08-30,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,-1.0,0.0,0.0,0.000623963674681427,0.0,0.0,0.0,1.0041211347047236,1.0
2016-08-31,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,-1.0,0.0,0.0,0.00252391839895294,0.0,0.0,0.0,1.0066554545113824,1.0
2016-09-01,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,-1.0,0.0,0.0,-0.007614242459228704,-0.0,0.0,-0.0,0.9989905358078276,1.0
2016-09-02,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-1.0,-1.0,0.0,0.0,-0.0007333740053153681,-0.0,0.0,-0.0,0.99825790211731,1.0
2016-09-05,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.916666666667,-0.916666666667,0.0,0.0,0.0036377045000353103,0.0,0.0,0.0,1.001889269380038,1.0
2016-09-06,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.916666666667,-0.916666666667,0.0,0.0,0.011727187911647174,0.0,0.0,0.0,1.0136386131087207,1.0
2016-09-07,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.916666666667,-0.916666666667,0.0,0.0,-9.512532761912773e-05,-0.0,0.0,-0.0,1.0135421904035613,1.0
2016-09-08,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.916666666667,-0.916666666667,0.0,0.0,0.0022310201684470066,0.0,0.0,0.0,1.0158034234719235,1.0
2016-09-09,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.916666666667,-0.916666666667,0.0,0.0,-0.006533709502026919,-0.0,0.0,-0.0,1.0091664589917935,1.0
2016-09-12,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.833333333333,-0.833333333333,0.0,0.0,-0.02399978483403531,-0.0,0.0,-0.0,0.9849466811142651,1.0
2016-09-13,000985.CSI,中证全指,two_speed_category_strong0p25,primary,-0.833333333333,-0.833333333333,0.0,0.0,0.0038590935053719466,0.0,0.0,0.0,0.9887476824544909,1.0
