代码,指数名称,日期,rule_id,factor,position,strategy_return,benchmark_return
000985.CSI,中证全指,2016-11-22,chip_profit_index,指数筹码盈利,0.0,0.0,0.008249084704191612
000985.CSI,中证全指,2016-11-23,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.002396454200890963
000985.CSI,中证全指,2016-11-24,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0008861276591787259
000985.CSI,中证全指,2016-11-25,chip_profit_index,指数筹码盈利,0.0,0.0,0.005346373826272011
000985.CSI,中证全指,2016-11-28,chip_profit_index,指数筹码盈利,0.0,0.0,0.0019789151674320937
000985.CSI,中证全指,2016-11-29,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0023556005376441647
000985.CSI,中证全指,2016-11-30,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.00512723252878422
000985.CSI,中证全指,2016-12-01,chip_profit_index,指数筹码盈利,0.0,0.0,0.006152341220388102
000985.CSI,中证全指,2016-12-02,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.01368236895600572
000985.CSI,中证全指,2016-12-05,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.010584497851279129
000985.CSI,中证全指,2016-12-06,chip_profit_index,指数筹码盈利,0.0,0.0,2.8129232444884522e-05
000985.CSI,中证全指,2016-12-07,chip_profit_index,指数筹码盈利,0.0,0.0,0.008289712818259298
000985.CSI,中证全指,2016-12-08,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.003609735885226728
000985.CSI,中证全指,2016-12-09,chip_profit_index,指数筹码盈利,0.0,0.0,0.0012587412279738697
000985.CSI,中证全指,2016-12-12,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.03761411670618442
000985.CSI,中证全指,2016-12-13,chip_profit_index,指数筹码盈利,0.0,0.0,0.002273982009252551
000985.CSI,中证全指,2016-12-14,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.0063657989077630095
000985.CSI,中证全指,2016-12-15,chip_profit_index,指数筹码盈利,0.0,0.0,0.00016102940113027486
000985.CSI,中证全指,2016-12-16,chip_profit_index,指数筹码盈利,0.0,0.0,0.00585065416022279
000985.CSI,中证全指,2016-12-19,chip_profit_index,指数筹码盈利,0.0,-0.0,-0.002407965009072699
000985.CSI,中证全指,2016-12-20,chip_profit_index,指数筹码盈利,1.0,-0.0034473692784402488,-0.0034473692784402488
000985.CSI,中证全指,2016-12-21,chip_profit_index,指数筹码盈利,1.0,0.008152000931002545,0.008152000931002545
000985.CSI,中证全指,2016-12-22,chip_profit_index,指数筹码盈利,1.0,-0.0007139976822202465,-0.0007139976822202465
000985.CSI,中证全指,2016-12-23,chip_profit_index,指数筹码盈利,1.0,-0.009965962372976978,-0.009965962372976978
000985.CSI,中证全指,2016-12-26,chip_profit_index,指数筹码盈利,1.0,0.004094627994896793,0.004094627994896793
000985.CSI,中证全指,2016-12-27,chip_profit_index,指数筹码盈利,1.0,4.042684338245728e-05,4.042684338245728e-05
000985.CSI,中证全指,2016-12-28,chip_profit_index,指数筹码盈利,1.0,-0.0037011224268407306,-0.0037011224268407306
000985.CSI,中证全指,2016-12-29,chip_profit_index,指数筹码盈利,1.0,-0.0023638554399528777,-0.0023638554399528777
000985.CSI,中证全指,2016-12-30,chip_profit_index,指数筹码盈利,1.0,0.0020260615514029467,0.0020260615514029467
000985.CSI,中证全指,2017-01-03,chip_profit_index,指数筹码盈利,1.0,0.009340382903850086,0.009340382903850086
000985.CSI,中证全指,2017-01-04,chip_profit_index,指数筹码盈利,1.0,0.009997000221082075,0.009997000221082075
000985.CSI,中证全指,2017-01-05,chip_profit_index,指数筹码盈利,1.0,0.0002778693193705717,0.0002778693193705717
000985.CSI,中证全指,2017-01-06,chip_profit_index,指数筹码盈利,1.0,-0.0062303079489643975,-0.0062303079489643975
000985.CSI,中证全指,2017-01-09,chip_profit_index,指数筹码盈利,1.0,0.005048778735565751,0.005048778735565751
000985.CSI,中证全指,2017-01-10,chip_profit_index,指数筹码盈利,1.0,-0.0028012111678100693,-0.0028012111678100693
000985.CSI,中证全指,2017-01-11,chip_profit_index,指数筹码盈利,1.0,-0.008979096644581963,-0.008979096644581963
